brand, product_name, price, shipping
ASUS , ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-O11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card ,"$1,299 ", Free Shipping
EVGA , EVGA GeForce RTX 2070 SUPER XC GAMING |  08G-P4-3172-KR |  8GB GDDR6 |  Dual HDB Fans |  RGB LED |  Metal Backplate ,$539 , $6.99 Shipping
GIGABYTE , GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card |  PCIe 4.0 |  8GB 256-Bit GDDR6 |  GV-R57XTGAMING OC-8GD Video Card ,$409 , Free Shipping
GIGABYTE , GIGABYTE GeForce RTX 2070 Super GAMING OC 3X 8G Graphics Card |  3 x WINDFORCE Fans |  8GB 256-Bit GDDR6 |  GV-N207SGAMING OC-8GD Video Card ,$549 , $6.99 Shipping
EVGA , EVGA GeForce RTX 2070 SUPER XC ULTRA GAMING |  08G-P4-3173-KR |  8GB GDDR6 |  Dual HDB Fans |  RGB LED |  Metal Backplate ,$647 , Free Shipping
EVGA , EVGA GeForce RTX 2070 SUPER BLACK GAMING |  08G-P4-3071-KR |  8GB GDDR6 ,$519 , $7.99 Shipping
ZOTAC , ZOTAC GAMING GeForce GTX 1660 6GB GDDR5 192-bit Gaming Graphics Card |  Super Compact |  ZT-T16600K-10M ,$219 , Free Shipping
ASRock , ASRock Radeon RX 5700 XT DirectX 12 RX 5700 XT CHALLENGER D 8G OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card ,$379 , $6.99 Shipping
XFX , XFX RADEON RX 590 FATBOY Core Edition 8GB 1580MHz DDR5 3xDP HDMI DVI PCI Express 3.0 Graphics Card RX-590P8DLD6 ,$189 , $4.49 Shipping
EVGA , EVGA GeForce RTX 2060 SC Ultra GAMING |  06G-P4-2067-KR |  6GB GDDR6 |  Dual HDB Fans ,$389 , $3.99 Shipping
ASUS , ASUS ROG STRIX AMD Radeon RX 5700 XT Overclocked 8G GDDR6 HDMI DisplayPort Gaming Graphics Card (ROG-STRIX-RX5700XT-O8G-GAMING) ,$459 , Free Shipping
MSI , MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card ,$339 , Free Shipping
MSI , MSI GeForce GTX 1660 DirectX 12 GTX 1660 VENTUS XS 6G OC 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card ,$216 , Free Shipping
